State,Total_Drivers_Per_Years,Drivers_Population,,
South Carolina,Total_Drivers_Y20,"3,905,911",,
South Carolina,Total_Drivers_Y18,"3,846,069",,
South Dakota,Total_Drivers_Y22,"679,711",,
South Dakota,Total_Drivers_Y18,"638,428",,
South Dakota,Total_Drivers_Y20,"658,091",,
Tennessee,Total_Drivers_Y22,"5,061,288",,
Tennessee,Total_Drivers_Y20,"4,877,268",,
Tennessee,Total_Drivers_Y18,"5,422,429",,
Texas,Total_Drivers_Y22,"18,738,980",,
Texas,Total_Drivers_Y20,"17,667,039",,
Texas,Total_Drivers_Y18,"17,370,383",,
Utah,Total_Drivers_Y22,"2,252,656",,
Utah,Total_Drivers_Y20,"2,149,766",,
Utah,Total_Drivers_Y18,"2,030,644",,
Vermont,Total_Drivers_Y20,"460,871",,
Vermont,Total_Drivers_Y18,"564,892",,
Vermont,Total_Drivers_Y22,"478,421",,
Virginia,Total_Drivers_Y22,"5,837,147",,
Virginia,Total_Drivers_Y20,"5,909,716",,
Virginia,Total_Drivers_Y18,"5,929,031",,
Washington,Total_Drivers_Y20,"5,812,500",,
Washington,Total_Drivers_Y18,"5,909,967",,
Washington,Total_Drivers_Y22,"5,956,048",,
West Virginia,Total_Drivers_Y22,"1,148,406",,
West Virginia,Total_Drivers_Y20,"1,101,775",,
West Virginia,Total_Drivers_Y18,"1,136,775",,
Wisconsin,Total_Drivers_Y22,"4,374,582",,
Wisconsin,Total_Drivers_Y20,"4,315,892",,
Wisconsin,Total_Drivers_Y18,"4,288,171",,
Wyoming,Total_Drivers_Y20,"427,233",,
Wyoming,Total_Drivers_Y18,"419,256",,
Wyoming,Total_Drivers_Y22,"431,900",,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
1,,,,
...,,,,
345678,,,,
Previous,,,,
302-303 of 303 rows,,,,
